year,movie_count,avg_rating,avg_rating_count
1943,42,1.22,73
1944,158,1.22,247
1945,155,1.54,415
1946,176,1.24,191
1947,193,1.5,120
1948,214,1.79,607
1949,208,1.52,225
1950,223,1.42,1407
1951,244,1.57,437
1952,253,1.38,875
1953,307,1.33,2821
1954,269,1.48,777
1955,276,1.62,351
1956,311,1.51,452
1957,350,1.42,2080
1958,358,1.56,286
1959,399,1.25,346
1960,379,1.54,879
1961,341,1.41,1057
1962,353,1.9,554
1963,167,1.55,366
1966,322,1.86,769
1967,383,1.52,335
1968,439,1.42,553
1969,442,1.7,327
1970,459,1.51,196
1971,488,1.75,866
1972,472,1.55,1688
1973,516,1.55,428
1974,523,1.49,1029
