country,rank_in_country,title,year,rating_score,rating_count
""", """,1,天蝎座符号,1977,0.0,52
",",1,莫斯科保卫战,1985,8.3,2016
",",2,安娜·巴甫洛娃,1983,7.9,66
",",3,安娜·巴甫洛娃,1983,7.9,66
", ""中国台湾",1,我来过这儿,2008,0.0,3
", ""中国大陆",1,奇迹寻踪,2015,0.0,31
", ""中国大陆",2,指南针,1957,0.0,1
", ""以色列",1,星期三4点45分,2015,0.0,8
", ""俄罗斯",1,未唱完的歌,2007,0.0,7
", ""俄罗斯",2,熊之心,2001,0.0,1
", ""保加利亚",1,遗落之地,2006,6.2,889
", ""加拿大",1,谜之音,2011,8.9,459
", ""加拿大",2,沙丘魔蚁,2017,3.8,117
", ""加拿大",3,Une femme libre,1971,0.0,0
", ""匈牙利",1,白色百合,2007,6.1,70
", ""卢森堡",1,七海游侠柯尔多：西伯利亚劫金记,2002,7.3,353
", ""卢森堡",2,私法制裁,2001,0.0,34
", ""卢森堡",3,红蚂蚁,2007,0.0,19
", ""印度尼西亚",1,致命录像带2,2013,6.9,4996
", ""古巴",1,求助方法,1978,0.0,3
", ""哥伦比亚",1,瑞比亚,2009,5.6,41
", ""土耳其",1,Remake,2003,0.0,0
", ""埃塞俄比亚",1,末日后的宇宙碎片,2015,5.5,176
", ""塞尔维亚",1,谢幕,2006,0.0,9
", ""墨西哥",1,阿卡普尔科奇遇记,2018,0.0,10
", ""墨西哥",2,猎杀21,1979,0.0,1
", ""墨西哥",3,Ángel negro,1978,0.0,0
", ""多米尼加",1,珍·让蒂尔,2010,0.0,6
", ""多米尼加",2,天涯杀手,1975,0.0,2
", ""委内瑞拉",1,飞天女大盗,1971,0.0,0
", ""巴基斯坦",1,泰姬陵：永恒的爱情故事,2005,0.0,5
", ""希腊",1,Dyo ilioi ston ourano,1991,0.0,0
", ""德国",1,老师的椅子,2003,7.8,57
", ""德国",2,一位著名的病人,2017,7.4,48
", ""德国",3,漂亮朋友,1955,7.3,81
", ""意大利",1,悲惨世界,1958,8.8,6845
", ""意大利",2,风景,2000,8.3,235
", ""意大利",3,斯通的活死人之战,2011,4.0,661
", ""捷克",1,巴德尔和迈因霍夫集团,2008,7.8,2989
", ""捷克",2,远方,2017,6.5,396
", ""捷克",3,酒窖,2017,0.0,1
", ""捷克斯洛伐克",1,斯大林格勒大血战,1989,7.8,263
", ""捷克斯洛伐克",2,结和橘子,2019,0.0,3
", ""摩洛哥",1,El Kotbia,2002,0.0,1
", ""斯洛伐克",1,地狱三季,2009,0.0,12
", ""斯洛文尼亚",1,舞向死亡的少女,2011,0.0,1
", ""智利",1,诡房客,2008,0.0,14
", ""智利",2,奇可之战,2001,0.0,11
", ""智利",3,英雄桑托斯,2008,0.0,4
", ""格鲁吉亚",1,让爱飞翔,2003,7.8,130
", ""比利时",1,"Difference c'est que c'est pas pareil, La",2009,0.0,1
", ""比利时",2,Les gens honnêtes vivent en France,2005,0.0,0
", ""法国",1,在阁楼上有谁今天过生日？,2009,7.7,205
", ""法国",2,流亡兄弟,2005,7.3,36
", ""法国",3,我是欧嘉,2016,6.8,1100
", ""波兰",1,江湖郎中,2020,0.0,13
", ""波兰",2,杀死色克拉,1998,0.0,11
", ""波多黎各",1,加西亚·洛尔伽的失踪,1996,0.0,823
", ""波多黎各",2,怪物狗,1984,0.0,17
", ""澳大利亚",1,梅芙,1981,0.0,2
